,Country,Total Cases,New Cases,Total Deaths,New Deaths,Total Recovered,Active Cases,Serious,Tot Cases Per Million,Deaths per Million,Total Tests,Tests per Million,Population
147,Republic of the Congo,10084.0,0.0,139.0,0.0,8208.0,0.0,1737.0,,1793.0,25.0,16446.0,5624301.0
148,Martinique,9890.0,0.0,64.0,0.0,98.0,0.0,9728.0,24.0,26371.0,171.0,375821.0,375035.0
149,Bahamas,9505.0,0.0,190.0,0.0,8965.0,0.0,350.0,3.0,23990.0,480.0,203695.0,396201.0
150,Suriname,9458.0,0.0,185.0,0.0,8751.0,0.0,522.0,12.0,16010.0,313.0,79434.0,590769.0
151,Papua New Guinea,9188.0,0.0,82.0,0.0,846.0,0.0,8260.0,,1012.0,9.0,7738.0,9079879.0
152,Trinidad and Tobago,8678.0,0.0,150.0,0.0,7843.0,0.0,685.0,14.0,6185.0,107.0,84839.0,1403062.0
153,Benin,7611.0,0.0,95.0,0.0,6728.0,0.0,788.0,35.0,615.0,8.0,46485.0,12371351.0
154,Equatorial Guinea,7259.0,0.0,106.0,0.0,6885.0,0.0,268.0,11.0,5045.0,74.0,80802.0,1438902.0
155,Nicaragua,6778.0,0.0,180.0,0.0,4225.0,0.0,2373.0,,1014.0,27.0,,6686515.0
156,Iceland,6279.0,0.0,29.0,0.0,6170.0,0.0,80.0,2.0,18307.0,85.0,1655300.0,342988.0
157,Gambia,5694.0,0.0,170.0,0.0,5176.0,0.0,348.0,3.0,2306.0,69.0,24510.0,2469682.0
158,CAR,5682.0,0.0,75.0,0.0,5112.0,0.0,495.0,2.0,1161.0,15.0,8356.0,4895636.0
159,Yemen,5657.0,0.0,1097.0,0.0,2178.0,0.0,2382.0,23.0,186.0,36.0,756.0,30340231.0
160,Cambodia,5480.0,262.0,38.0,2.0,2393.0,74.0,3049.0,,324.0,2.0,46683.0,16900725.0
161,Niger,5113.0,0.0,190.0,0.0,4767.0,0.0,156.0,1.0,205.0,8.0,3792.0,24888432.0
162,San Marino,5010.0,0.0,86.0,0.0,4671.0,0.0,253.0,7.0,147409.0,2530.0,1695707.0,33987.0
163,Seychelles,4765.0,0.0,25.0,0.0,4351.0,0.0,389.0,,48216.0,253.0,217592.0,98827.0
164,Chad,4673.0,0.0,168.0,0.0,4320.0,0.0,185.0,,278.0,10.0,6601.0,16793808.0
165,Saint Lucia,4355.0,0.0,64.0,0.0,4225.0,0.0,66.0,1.0,23631.0,347.0,207929.0,184289.0
166,Gibraltar,4290.0,0.0,94.0,0.0,4181.0,0.0,15.0,1.0,127364.0,2791.0,6593564.0,33683.0
167,Channel Islands,4053.0,0.0,86.0,0.0,3956.0,0.0,11.0,1.0,23144.0,491.0,2283531.0,175124.0
168,Sierra Leone,4016.0,0.0,79.0,0.0,2833.0,0.0,1104.0,,496.0,10.0,14602.0,8104071.0
169,Comoros,3809.0,0.0,146.0,0.0,3589.0,0.0,74.0,,4308.0,165.0,,884107.0
170,Barbados,3753.0,0.0,44.0,0.0,3638.0,0.0,71.0,,13047.0,153.0,512041.0,287653.0
171,Guinea-Bissau,3706.0,0.0,66.0,0.0,3106.0,0.0,534.0,11.0,1849.0,33.0,30525.0,2004390.0
172,Eritrea,3486.0,0.0,10.0,0.0,3280.0,0.0,196.0,,972.0,3.0,6609.0,3584978.0
173,Burundi,3424.0,0.0,6.0,0.0,773.0,0.0,2645.0,,281.0,,7399.0,12167109.0
174,Liechtenstein,2780.0,0.0,56.0,0.0,2657.0,0.0,67.0,5.0,72748.0,1465.0,843984.0,38214.0
175,Vietnam,2758.0,0.0,35.0,0.0,2445.0,0.0,278.0,,28.0,,26510.0,98027872.0
176,New Zealand,2591.0,0.0,26.0,0.0,2464.0,0.0,101.0,,518.0,5.0,391692.0,5002100.0
177,Monaco,2387.0,0.0,31.0,0.0,2268.0,0.0,88.0,5.0,60490.0,786.0,1316566.0,39461.0
178,Turks and Caicos,2367.0,0.0,17.0,0.0,2285.0,0.0,65.0,2.0,60494.0,434.0,1073605.0,39128.0
179,Sao Tome and Principe,2271.0,0.0,35.0,0.0,2201.0,0.0,35.0,,10214.0,157.0,56654.0,222350.0
180,Sint Maarten,2199.0,0.0,27.0,0.0,2136.0,0.0,36.0,1.0,50833.0,624.0,584942.0,43259.0
181,Liberia,2042.0,0.0,85.0,0.0,1899.0,0.0,58.0,2.0,396.0,17.0,15471.0,5150686.0
182,Bermuda,2023.0,0.0,17.0,0.0,1140.0,0.0,866.0,41.0,32579.0,274.0,3589378.0,62096.0
183,St. Vincent Grenadines,1818.0,0.0,10.0,0.0,1677.0,0.0,131.0,2.0,16346.0,90.0,396267.0,111218.0
184,Saint Martin,1702.0,0.0,12.0,0.0,1399.0,0.0,291.0,7.0,43437.0,306.0,704081.0,39183.0
185,Isle of Man,1575.0,0.0,29.0,0.0,1534.0,0.0,12.0,,18445.0,340.0,524207.0,85388.0
186,Caribbean Netherlands,1529.0,0.0,14.0,0.0,1430.0,0.0,85.0,,57884.0,530.0,379519.0,26415.0
187,Antigua and Barbuda,1209.0,0.0,31.0,0.0,947.0,0.0,231.0,4.0,12266.0,315.0,167328.0,98567.0
188,Mauritius,1202.0,0.0,15.0,0.0,865.0,0.0,322.0,,944.0,12.0,281660.0,1273433.0
189,Timor-Leste,1138.0,0.0,2.0,0.0,564.0,0.0,572.0,,850.0,1.0,40705.0,1338129.0
190,Taiwan,1070.0,2.0,11.0,0.0,1032.0,1.0,27.0,,45.0,,21517.0,23850790.0
191,Bhutan,934.0,0.0,1.0,0.0,876.0,0.0,57.0,,1200.0,1.0,846192.0,778290.0
192,St. Barth,934.0,0.0,1.0,0.0,462.0,0.0,471.0,,94334.0,101.0,2664882.0,9901.0
193,Diamond Princess,712.0,0.0,13.0,0.0,699.0,0.0,0.0,,,,,
194,Faeroe Islands,662.0,0.0,1.0,0.0,660.0,0.0,1.0,,13508.0,20.0,5060744.0,49009.0
195,Cayman Islands,523.0,0.0,2.0,0.0,499.0,0.0,22.0,,7885.0,30.0,1296205.0,66329.0
196,United Republic of Tanzania,509.0,0.0,21.0,0.0,183.0,0.0,305.0,7.0,8.0,,,61062542.0
197,Wallis and Futuna,437.0,0.0,5.0,0.0,44.0,0.0,388.0,3.0,39430.0,451.0,962104.0,11083.0
198,Brunei,221.0,0.0,3.0,0.0,206.0,0.0,12.0,,501.0,7.0,264525.0,440775.0
199,British Virgin Islands,187.0,0.0,1.0,0.0,182.0,0.0,4.0,,6153.0,33.0,1177723.0,30390.0
200,Dominica,165.0,0.0,0.0,0.0,159.0,0.0,6.0,,2288.0,,187170.0,72127.0
201,Grenada,155.0,0.0,1.0,0.0,152.0,0.0,2.0,,1372.0,9.0,212416.0,112934.0
202,New Caledonia,121.0,0.0,0.0,0.0,58.0,0.0,63.0,,421.0,,101447.0,287658.0
203,Fiji,68.0,0.0,2.0,0.0,64.0,0.0,2.0,,75.0,2.0,44700.0,901561.0
204,Falkland Islands,62.0,0.0,0.0,0.0,55.0,0.0,7.0,,17421.0,,2020511.0,3559.0
205,Laos,53.0,0.0,0.0,0.0,49.0,0.0,4.0,,7.0,,19499.0,7358471.0
206,Macao,49.0,0.0,0.0,0.0,48.0,0.0,1.0,,75.0,,6732.0,656289.0
207,Saint Kitts and Nevis,44.0,0.0,0.0,0.0,44.0,0.0,0.0,,823.0,,231442.0,53495.0
208,Greenland,31.0,0.0,0.0,0.0,31.0,0.0,0.0,,545.0,,363584.0,56848.0
209,Vatican City,27.0,0.0,0.0,0.0,15.0,0.0,12.0,,33624.0,,,803.0
210,Anguilla,25.0,0.0,0.0,0.0,22.0,0.0,3.0,,1655.0,,964985.0,15108.0
211,Saint Pierre Miquelon,24.0,0.0,0.0,0.0,24.0,0.0,0.0,,4158.0,,888080.0,5772.0
212,Montserrat,20.0,0.0,1.0,0.0,19.0,0.0,0.0,,4005.0,200.0,262915.0,4994.0
213,Solomon Islands,20.0,0.0,0.0,0.0,18.0,0.0,2.0,,29.0,,6428.0,700057.0
214,Western Sahara,10.0,0.0,1.0,0.0,8.0,0.0,1.0,,16.0,2.0,,608824.0
215,MS Zaandam,9.0,0.0,2.0,0.0,7.0,0.0,0.0,,,,,
216,Marshall Islands,4.0,0.0,0.0,0.0,4.0,0.0,0.0,,67.0,,,59505.0
217,Samoa,3.0,0.0,0.0,0.0,2.0,0.0,1.0,,15.0,,,199453.0
218,Vanuatu,3.0,0.0,0.0,0.0,1.0,0.0,2.0,,10.0,,1503.0,312761.0
219,Micronesia,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,9.0,,,115971.0
220,China,90468.0,11.0,4636.0,0.0,85533.0,9.0,299.0,5.0,63.0,3.0,111163.0,1439323776.0
